"","sig_member","sig_score","sig_newline","sig_newline_e","sig_right","sig_right_e"
"1","tourist","3580",0,0,766,763
"2","Petr","3481",0,0,1049,1048
"3","TooDifficuIt","3211",30,30,1489,1298
"4","matthew99","3100",238,234,663,429
"5","dotorya","3094",8,8,452,442
"6","eatmore","3030",0,0,910,905
"7","Endagorion","3020",0,0,488,403
"8","W4yneb0t","3020",0,0,429,429
"9","PavelKunyavskiy","3007",0,0,743,590
"10","Um_nik","2999",138,138,270,265
"11","vepifanov","2992",32,32,502,386
"12","RomaWhite","2985",91,91,463,456
"13","LHiC","2983",0,0,519,511
"14","izrak","2966",1,1,707,692
"15","subscriber","2957",0,0,463,459
"16","TankEngineer","2934",0,0,728,709
"17","mnbvmar","2922",0,0,908,686
"18","Alex_2oo8","2904",13,13,338,335
"19","rng_58","2895",0,0,481,442
"20","anta","2886",0,0,1157,821
"21","ainta","2860",0,0,748,746
"22","xyz111","2855",3,3,396,395
"23","bmerry","2833",275,275,708,523
"24","AlexDmitriev","2831",2,2,2965,2902
"25","jiry_2","2829",0,0,471,448
"26","Zlobober","2823",14,14,1072,1042
"27","niyaznigmatul","2820",0,0,1195,1193
"28","rowdark","2808",0,0,1852,1848
"29","black_horse2014","2803",0,0,717,713
"30","ershov.stanislav","2800",0,0,949,908
"31","kcm1700","2795",63,63,870,828
"32","zemen","2794",0,0,428,403
"33","ikatanic","2780",0,0,702,648
"34","step5","2771",242,242,667,595
"35","overtroll","2768",125,125,426,423
"36","Marcin_smu","2765",0,0,679,556
"37","DEGwer","2762",152,152,1157,1157
"38","geniucos","2762",296,296,241,236
"39","Shik","2757",0,0,1671,803
"40","VArtem","2749",0,0,1254,1250
"41","Xellos","2749",0,0,419,379
"42","Egor","2744",0,0,3410,3404
"43","FatalEagle","2736",151,150,388,322
"44","muratt","2732",0,0,630,559
"45","I_love_Tanya_Romanova","2731",107,107,705,683
"46","aid","2728",0,0,949,912
"47","Burunduk1","2725",0,0,559,430
"48","RAVEman","2724",0,0,564,513
"49","sankear","2713",0,0,1029,1015
"50","semiexp","2704",108,108,464,386
"51","jcvb","2703",41,41,1229,453
"52","ilyakor","2702",0,0,1705,1701
"53","sdya","2699",0,0,1089,1088
"54","-XraY-","2698",0,0,1507,1444
"55","sd0061","2696",18,18,607,574
"56","hogloid","2694",0,0,1271,942
"57","Vercingetorix","2684",41,41,766,764
"58","Umqra","2682",226,226,437,400
"59","zeliboba","2680",0,0,638,632
"60","al13n","2678",0,0,1715,546
"61","Herzu","2677",66,66,195,184
"62","yosupo","2674",0,0,536,474
"63","Belonogov","2670",0,0,971,920
"64","gs12117","2669",4,4,1088,1064
"65","Stonefeang","2668",266,266,537,537
"66","ifsmirnov","2658",0,0,715,661
"67","TeaPot","2657",0,0,658,590
"68","pashka","2656",3,3,1283,1261
"69","Z38","2648",0,0,560,536
"70","Errichto","2641",0,0,495,416
"71","Merkurev","2638",144,144,323,286
"72","tzupengwang","2638",0,0,473,445
"73","Fata1ist","2634",9,9,561,497
"74","Coder","2625",0,0,286,279
"75","eddy1021","2625",0,0,895,844
"76","AngryBacon","2624",261,261,987,981
"77","lewin","2622",0,0,1155,1145
"78","ftiasch","2612",111,111,910,849
"79","savinov","2611",0,0,1743,1674
"80","zxqfl","2610",207,207,1136,1058
"81","kalinov","2609",0,0,945,837
"82","Hezhu","2607",131,131,503,467
"83","Swistakk","2606",0,0,1671,1140
"84","Kaban-5","2601",132,132,442,427
"85","vlad107","2599",0,0,497,496
"86","_meshanya_","2599",0,0,482,466
"87","flydutchman","2590",3,3,629,600
"88","ErdemKirez","2589",0,0,533,477
"89","lawrenceli","2587",0,0,642,624
"90","doreamon","2586",0,0,415,397
"91","izban","2585",0,0,1129,1112
"92","KAN","2583",81,81,410,354
"93","MainDullMoeHand","2583",50,50,388,375
"94","kostya_by","2579",0,0,1261,1244
"95","Shapo","2574",16,16,1113,987
"96","halyavin","2574",0,0,1205,1138
"97","ksun48","2574",0,0,640,627
"98","qwerty787788","2571",0,0,2112,2102
"99","aasddf","2571",131,113,267,196
"100","Gullesnuffs","2568",0,0,515,509
"101","xyz2606","2567",0,0,534,534
"102","DBradac","2566",182,182,441,413
"103","mmaxio","2563",0,0,2024,1993
"104","knightL","2556",137,137,434,417
"105","Jacob","2555",13,13,468,459
"106","Tachibana-Kanade","2554",0,0,474,453
"107","Kostroma","2548",0,0,1732,1595
"108","kmjp","2547",0,0,520,406
"109","dans","2544",0,0,772,530
"110","Fdg","2543",0,0,1029,955
"111","tun","2543",0,0,326,248
"112","Deemo","2542",12,12,264,254
"113","WHITE2302","2536",0,0,971,965
"114","data_h","2532",0,0,935,924
"115","dj3500","2530",0,0,562,404
"116","Al.Cash","2528",0,0,765,552
"117","yutaka1999","2528",108,108,686,678
"118","Copymaster","2527",0,0,1223,1219
"119","MrDindows","2524",8,8,2186,1022
"120","msg555","2524",0,0,729,719
"121","vladi","2523",0,0,373,359
"122","Ra16bit","2521",0,0,241,213
"123","fhlasek","2519",0,0,307,261
"124","aaaaajack","2519",0,0,461,450
